City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,uturoa,-16.7333,-151.4333,78.37,74,46,18.48,PF,1731558056
114,boa vista,2.8197,-60.6733,84.18,70,40,3.44,BR,1731557966
115,puerto natales,-51.7236,-72.4875,39.85,78,4,4.72,CL,1731558059
116,newman,37.3138,-121.0208,58.03,74,99,1.01,US,1731558060
117,invercargill,-46.4,168.35,56.01,93,100,1.01,NZ,1731558061
118,leava,-14.3,-178.1667,81.7,81,50,17.87,WF,1731558062
119,chamical,-30.36,-66.314,75.09,31,71,7.72,AR,1731558063
120,topolobampo,25.6,-109.05,64.31,77,0,6.91,MX,1731558064
121,kristiansund,63.1115,7.732,45.25,65,100,24.16,NO,1731558065
122,hirara,24.8,125.2833,84.06,89,75,13.8,JP,1731558066
123,malabar,-33.9667,151.25,71.53,70,75,14.97,AU,1731558067
124,usogorsk,63.4106,48.6872,33.49,98,100,10.69,RU,1731558068
125,port alfred,-33.5906,26.891,59.18,90,94,5.28,ZA,1731558069
126,st. john's,47.5649,-52.7093,39.15,98,100,27.63,CA,1731557780
127,katsuren-haebaru,26.3369,127.8719,84.97,75,75,10.36,JP,1731558071
128,geraldton,-28.7667,114.6,77.41,65,0,11.5,AU,1731558072
129,ilulissat,69.2167,-51.1,23.02,63,37,12.66,GL,1731558073
130,wailua homesteads,22.0669,-159.378,77.79,77,75,18.41,US,1731558074
131,cadale,2.7603,46.3222,80.17,82,44,12.3,SO,1731558075
132,guacamayas,18.0167,-102.2167,75.63,86,60,4.16,MX,1731558076
133,shubarshi,48.5872,57.1869,28.98,60,100,10.29,KZ,1731558077
134,arraial do cabo,-22.9661,-42.0278,70.0,81,100,13.85,BR,1731558078
135,acapulco de juarez,16.8634,-99.8901,82.22,83,75,3.44,MX,1731557833
136,khuzdar,27.7384,66.6434,64.92,15,0,3.04,PK,1731558081
137,avarua,-21.2078,-159.775,75.25,69,96,9.22,CK,1731558082
138,river park,27.3142,-80.3473,76.96,71,75,21.85,US,1731558083
139,guapiacu,-20.795,-49.2203,73.69,73,0,0.0,BR,1731558084
140,darwin,-12.4611,130.8418,93.18,55,75,10.36,AU,1731558085
141,san antonio de pale,-1.4014,5.6325,78.51,85,100,13.09,GQ,1731558086
142,saldanha,-33.0117,17.9442,57.27,80,1,14.03,ZA,1731558087
143,burang,30.25,81.1667,35.82,15,0,6.24,CN,1731558088
144,utrik,11.2278,169.8474,82.51,71,8,14.29,MH,1731558089
145,kapuskasing,49.4169,-82.4331,30.2,93,40,10.36,CA,1731558075
146,lata,40.1629,-8.3327,44.47,92,0,5.75,PT,1731558091
147,karratha,-20.7377,116.8463,101.79,23,92,3.0,AU,1731558092
148,port elizabeth,-33.918,25.5701,62.31,80,0,1.14,ZA,1731558094
149,atafu village,-8.5421,-172.5159,83.41,76,19,14.27,TK,1731558095
150,weno,7.4515,151.8468,89.55,70,75,5.75,FM,1731558096
151,afaahiti,-17.75,-149.2833,74.64,79,90,15.82,PF,1731558097
152,pangkalpinang,-2.1333,106.1333,90.93,54,50,7.31,ID,1731558098
153,flin flon,54.7682,-101.865,30.83,73,81,4.61,CA,1731558062
154,mallapuram,11.9667,78.25,77.34,84,94,6.2,IN,1731558101
155,toliara,-23.35,43.6667,76.78,74,5,12.75,MG,1731558102
156,hawaiian paradise park,19.5933,-154.9731,72.91,96,100,3.0,US,1731558103
157,puerto leguizamo,-0.1934,-74.7819,71.87,98,58,1.86,CO,1731558104
158,praia da vitoria,38.7333,-27.0667,62.85,82,75,11.63,PT,1731558105
159,qamdo,31.1667,97.2333,41.86,32,1,7.63,CN,1731558106
160,aykhal,66.0,111.5,-17.43,100,100,8.39,RU,1731558107
161,ancud,-41.8697,-73.8203,53.55,99,100,8.55,CL,1731558108
162,kargasok,59.0556,80.8572,8.37,88,100,9.28,RU,1731558109
163,sinabang,2.4803,96.3801,79.61,83,100,3.98,ID,1731558110
164,alvaraes,-3.2208,-64.8042,74.26,98,99,1.97,BR,1731558111
165,ocean shores,46.9737,-124.1563,53.02,93,100,12.66,US,1731558113
166,natal,-5.795,-35.2094,79.02,73,40,8.05,BR,1731558049
167,amparafaravola,-17.5833,48.2167,70.14,61,7,1.14,MG,1731558115
168,ujae,8.9322,165.7642,83.61,69,47,15.7,MH,1731558116
169,hanzhong,33.0728,107.0303,64.69,69,71,3.31,CN,1731558117
170,hithadhoo,-0.6,73.0833,82.29,77,97,11.61,MV,1731558118
171,maturin,9.75,-63.1767,76.84,100,51,3.44,VE,1731558119
172,khandyga,62.6667,135.6,-5.82,83,6,2.73,RU,1731558120
173,la paz,-16.5,-68.15,48.18,84,75,2.3,BO,1731558121
174,talcahuano,-36.7167,-73.1167,55.08,88,0,4.61,CL,1731558122
175,baiti,13.745,-14.7482,73.27,36,8,7.54,SN,1731558123
176,trondheim,63.4305,10.3951,41.05,78,99,4.0,NO,1731558056
177,sitka,57.0531,-135.33,37.29,87,20,3.44,US,1731558125
178,obock,12.25,43.0833,70.09,68,0,7.38,DJ,1731558126
179,kone,-21.0595,164.8658,90.36,44,60,5.55,NC,1731558127
180,bubaque,11.2833,-15.8333,81.77,61,100,13.58,GW,1731558128
181,cacheu,12.2706,-16.1658,70.18,76,94,4.29,GW,1731558129
182,tolanaro,-25.0319,46.9987,82.47,78,40,11.5,MG,1731558130
183,dunedin,-45.8742,170.5036,54.81,97,100,1.99,NZ,1731558131
184,ust'-ilimsk,58.0006,102.6619,11.16,80,49,5.48,RU,1731558133
185,asau,46.4333,26.4,30.29,86,53,3.74,RO,1731558134
186,saudarkrokur,65.7461,-19.6394,44.11,88,100,25.66,IS,1731558135
187,udachny,66.4167,112.4,-17.25,96,45,7.25,RU,1731558136
188,trumbull,41.3167,-80.7665,47.35,43,100,16.11,US,1731558137
189,leona vicario,20.9667,-87.1917,73.67,99,31,2.42,MX,1731558138
190,talnakh,69.4865,88.3972,-13.92,99,99,0.38,RU,1731558139
191,petropavlovsk-kamchatsky,53.0452,158.6483,28.99,34,0,11.18,RU,1731558140
192,ishigaki,24.3448,124.1572,84.33,84,40,12.66,JP,1731558141
193,el calafate,-50.3408,-72.2768,44.83,66,21,7.9,AR,1731558142
194,coahuayana de hidalgo,18.7,-103.6583,74.97,88,73,2.98,MX,1731558143
195,balabac,7.9868,117.0645,86.68,61,85,6.96,PH,1731558144
196,januaria,-15.4833,-44.3667,70.63,98,100,0.43,BR,1731558145
197,kodiak,57.79,-152.4072,35.11,64,0,5.75,US,1731558146
198,winnemucca,40.973,-117.7357,46.45,49,20,10.36,US,1731558148
199,piacabucu,-10.4056,-36.4344,77.38,73,42,11.92,BR,1731558149
200,cabo san lucas,22.8909,-109.9124,77.76,85,1,4.7,MX,1731557939
201,howard springs,-12.497,131.047,93.11,61,100,6.93,AU,1731558151
202,krasnovishersk,60.4078,57.082,25.84,96,100,6.93,RU,1731558152
203,mehndawal,26.9753,83.1117,77.45,38,0,1.61,IN,1731558153
204,kingston,17.997,-76.7936,81.55,83,75,11.5,JM,1731557867
205,la'ie,21.6477,-157.9253,78.19,74,20,13.0,US,1731558155
206,shuangjiang,26.1547,109.7138,84.43,45,0,4.74,CN,1731558156
207,pointe aux piments,-20.0628,57.5131,82.51,74,5,11.63,MU,1731558157
208,kenora,49.8167,-94.4337,38.37,100,100,2.3,CA,1731558158
209,alice springs,-23.7,133.8833,87.35,12,84,10.36,AU,1731558159
210,mengellang,7.6957,134.6305,83.55,73,86,6.42,PW,1731558161
211,dourados,-22.2211,-54.8056,61.97,46,0,5.1,BR,1731557999
212,birobidzhan,48.8,132.95,34.86,51,23,2.84,RU,1731558164
213,klyuchi,52.2667,79.1667,14.88,88,100,15.14,RU,1731558165
214,lunel,43.6778,4.1361,47.35,75,0,8.05,FR,1731558166
215,urubamba,-13.3047,-72.1158,50.22,86,96,4.07,PE,1731557929
216,amga,60.8953,131.9608,8.55,91,100,4.05,RU,1731558168
217,port moresby,-9.4431,147.1797,89.02,66,75,17.27,PG,1731558170
218,marsa alam,25.0757,34.8918,70.12,68,35,12.5,EG,1731558171
219,la penita de jaltomba,21.0333,-105.25,74.93,87,79,3.51,MX,1731558172
220,la ronge,55.1001,-105.2842,28.65,80,75,9.22,CA,1731558173
221,alotau,-10.3069,150.4462,86.16,65,100,7.05,PG,1731558174
222,marka,1.7159,44.7717,80.78,78,65,6.35,SO,1731558175
223,santander jimenez,24.2167,-98.4667,75.69,87,85,3.78,MX,1731558176
224,as sulayyil,20.4607,45.5779,68.65,29,1,3.58,SA,1731558177
225,namibe,-15.1961,12.1522,71.06,75,100,6.64,AO,1731558178
226,coquimbo,-29.9533,-71.3436,60.53,77,100,4.61,CL,1731557902
227,lebu,-37.6167,-73.65,54.28,96,21,13.89,CL,1731558180
228,carnarvon,-24.8667,113.6333,77.99,63,56,12.71,AU,1731558182
229,si satchanalai,17.5169,99.7598,85.06,70,1,1.72,TH,1731558183
230,port saint john's,-31.6229,29.5448,62.01,82,100,2.53,ZA,1731558184
231,murghob,38.1702,73.9667,22.46,52,100,6.93,TJ,1731558185
232,quesnel,52.9999,-122.5029,46.9,61,100,8.05,CA,1731558186
233,sokoni,-6.4333,39.55,80.91,81,2,8.08,TZ,1731558187
234,duragan,41.4158,35.0544,49.33,92,55,1.5,TR,1731558188
235,glendive,47.1053,-104.7125,37.02,48,0,5.75,US,1731558189
236,badger,64.8,-147.5333,-10.95,72,40,0.0,US,1731558193
237,rongelap,11.1635,166.8941,82.96,72,5,15.77,MH,1731558194
238,yangambi,0.8102,24.4336,68.58,94,56,1.3,CD,1731558195
239,port hueneme,34.1478,-119.1951,56.88,62,0,0.0,US,1731558196
240,akureyri,65.6835,-18.0878,51.73,71,75,24.16,IS,1731558199
241,diamantino,-14.4086,-56.4461,66.31,92,52,3.96,BR,1731558200
242,port macquarie,-31.4333,152.9167,76.06,75,18,4.0,AU,1731558201
243,khanty-mansiysk,61.0042,69.0019,-9.29,77,0,4.47,RU,1731558202
244,male,4.1748,73.5089,82.85,70,96,6.96,MV,1731558006
245,galappo,-4.2667,35.85,66.18,81,80,3.31,TZ,1731558204
246,danielskuil,-28.1887,23.5395,61.03,47,1,13.56,ZA,1731558205
247,santo domingo de los colorados,-0.25,-79.15,66.04,90,67,1.34,EC,1731558207
248,enewetak,11.3474,162.3373,83.93,70,73,12.37,MH,1731558208
249,fuglafjordur,62.244,-6.814,44.8,86,67,12.97,FO,1731558209
250,broken hill,-31.95,141.4333,77.81,20,0,12.12,AU,1731558210
251,chibougamau,49.9168,-74.3659,22.62,86,0,6.91,CA,1731558211
252,jayapura,-2.5333,140.7,92.59,70,44,5.86,ID,1731558212
253,catriel,-37.8791,-67.7956,76.19,22,44,7.96,AR,1731558213
254,copala,16.65,-98.9833,77.38,85,100,4.0,MX,1731558214
255,kolonia town,6.964,158.206,78.91,89,100,6.91,FM,1731558215
256,nuuk,64.1835,-51.7216,25.41,86,100,21.85,GL,1731558216
257,recife,-8.0539,-34.8811,80.64,69,40,10.36,BR,1731557921
258,taos,36.4072,-105.5731,34.27,63,0,0.0,US,1731558218
259,sola,-13.8833,167.55,81.21,75,100,6.91,VU,1731558219
260,adjumani,3.3779,31.7909,68.11,84,51,1.05,UG,1731558220
261,vorgashor,67.5833,63.95,-0.27,89,89,8.75,RU,1731558221
262,flying fish cove,-10.4217,105.6791,82.08,89,100,13.8,CX,1731558222
263,whitecourt,54.1502,-115.6855,29.44,93,100,3.44,CA,1731558223
264,luang prabang,19.8856,102.1347,80.56,65,20,2.3,LA,1731558225
265,tofol,5.3248,163.0078,83.98,74,100,5.75,FM,1731558226
266,arkhangel'sk,64.5401,40.5433,37.51,100,100,8.95,RU,1731558227
267,ad dilam,23.9915,47.1627,69.13,29,16,4.5,SA,1731558229
268,puerto lempira,15.2667,-83.7667,79.47,85,100,9.6,HN,1731558230
269,saint-pierre,-21.3393,55.4781,80.28,57,14,3.44,RE,1731558231
270,keflavik,64.0049,-22.5624,48.63,100,100,28.77,IS,1731558232
271,tokar,18.4254,37.729,81.59,72,0,11.05,SD,1731558233
272,khvoynaya,58.9,34.5333,33.71,95,100,10.67,RU,1731558072
273,ubari,26.5921,12.7805,61.92,27,0,5.99,LY,1731558235
274,revda,56.801,59.9303,23.47,91,100,11.86,RU,1731558236
275,severodvinsk,64.5635,39.8302,39.97,76,81,18.32,RU,1731558237
276,lorengau,-2.0226,147.2712,78.48,86,100,8.14,PG,1731558238
277,macas,-2.3167,-78.1167,66.16,96,76,4.34,EC,1731558006
278,najran,17.4924,44.1277,59.79,26,4,2.1,SA,1731558240
279,vanino,49.0869,140.2543,38.77,45,35,3.06,RU,1731558241
280,villa general belgrano,-31.9754,-64.5559,62.17,46,0,1.79,AR,1731558242
281,puerto santa,-8.9906,-78.6456,63.84,90,98,6.44,PE,1731558244
282,san bartolo,19.1833,-100.05,51.51,58,42,9.55,MX,1731558245
283,abalak,58.1286,68.5944,7.48,86,100,7.36,RU,1731558246
284,evanston,42.0411,-87.6901,50.11,94,100,16.11,US,1731558247
285,lunino,53.5918,45.2271,27.55,95,72,5.86,RU,1731558248
286,kununurra,-15.7667,128.7333,96.78,36,58,5.75,AU,1731558249
287,quang ngai,15.1167,108.8,84.34,75,69,4.36,VN,1731558250
288,connell,46.6635,-118.8611,46.0,98,100,12.21,US,1731558251
289,idrinskoye,54.3708,92.1358,18.66,58,100,5.82,RU,1731558133
290,colonia,50.9333,6.95,49.12,93,75,6.91,DE,1731558253
291,santa elena de uairen,4.6167,-61.1333,68.59,91,100,1.92,VE,1731558134
292,navoiy,40.0844,65.3792,33.28,93,7,4.61,UZ,1731558255
293,nema,57.5067,50.5011,31.24,93,100,10.0,RU,1731558256
294,san fernando,15.0286,120.6898,91.13,66,100,9.13,PH,1731558257
295,ust'-kut,56.7938,105.7672,15.53,81,100,2.1,RU,1731558258
296,smithers,54.7804,-127.1743,34.12,100,100,0.0,CA,1731558259
297,kimbe,-5.5502,150.1429,86.02,66,88,4.5,PG,1731558260
298,richards bay,-28.783,32.0377,66.2,73,99,11.86,ZA,1731558261
299,rawson,-43.3002,-65.1023,57.49,51,0,8.05,AR,1731558262
300,kirakira,-10.4544,161.9205,79.97,84,100,6.35,SB,1731558265
301,cockburn town,21.4612,-71.1419,81.25,72,97,22.19,TC,1731558266
302,nehe,48.4833,124.8333,36.63,53,6,6.31,CN,1731558267
303,anadyr,64.75,177.4833,27.1,80,20,22.37,RU,1731558268
304,goundam,16.4145,-3.6708,76.06,17,67,8.61,ML,1731558269
305,lodwar,3.1191,35.5973,82.6,54,68,8.99,KE,1731558270
